ActivityID,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,-7.2109375,-1.0087890625,6.625,-1.5322265625,0.284423828125,0.62744140625
1,-7.14453125,-0.0933837890625,5.28125,-3.359375,0.994140625,0.8564453125
1,-7.58203125,-0.324462890625,4.0859375,-2.25390625,0.7734375,0.5869140625
1,-8.25,-2.998046875,4.18359375,-0.68603515625,0.66064453125,0.436767578125
1,-9.09375,-3.919921875,5.7890625,-0.71484375,1.31640625,0.41650390625
1,-10.890625,-4.6171875,4.00390625,1.12109375,0.5859375,0.022369384765625
1,-10.9296875,-4.984375,2.14453125,0.65087890625,-0.234375,-0.54345703125
1,-9.7734375,-3.232421875,1.36328125,-0.20458984375,-0.426025390625,-0.998046875
1,-6.9765625,-2.251953125,0.439453125,-0.454833984375,-0.0287628173828125,-0.794921875
1,-7.4609375,-1.333984375,-0.88818359375,-0.55810546875,-0.295166015625,0.337646484375
1,-11.8046875,-2.154296875,-0.372314453125,-1.1181640625,-0.9833984375,0.69677734375
1,-13.546875,-2.748046875,0.912109375,-1.03515625,-0.2578125,0.8681640625
1,-10.0546875,-2.63671875,2.73046875,-0.3623046875,-0.1300048828125,0.73486328125
1,-6.7109375,-3.205078125,2.4921875,0.17041015625,-0.12249755859375,0.16943359375
1,-4.05859375,-3.435546875,2.201171875,0.81689453125,0.426025390625,-0.0543212890625
1,-7.21484375,-3.896484375,3.40625,0.0426025390625,0.560546875,-0.24609375
1,-11.5546875,-4.05078125,4.078125,0.5380859375,0.332275390625,-0.40380859375
1,-13.1953125,-4.63671875,2.875,0.98095703125,-0.07989501953125,-1.0556640625
1,-11.4375,-3.181640625,0.572265625,0.2130126953125,-0.349365234375,-1.10546875
1,-7.90625,-2.095703125,0.83203125,0.296142578125,-0.31005859375,-1.080078125
1,-5.33984375,-1.2919921875,0.302978515625,-0.52734375,-0.09161376953125,0.255615234375
1,-8.78125,-1.4052734375,0.0682373046875,-0.284423828125,0.214111328125,1.7900390625
1,-13.90625,-4.91015625,0.4189453125,-0.65283203125,-0.09478759765625,1.2412109375
1,-12.609375,-4.2421875,1.8583984375,-0.250244140625,-0.2587890625,0.548828125
1,-8.3984375,-3.826171875,2.5234375,-0.75634765625,-0.47509765625,0.261962890625
1,-4.78515625,-2.5625,2.453125,0.2939453125,0.0287628173828125,-0.1246337890625
1,-3.97265625,-3.416015625,2.6015625,0.7275390625,0.371826171875,-0.2034912109375
