ActivityID,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
4,-8.3046875,-3.171875,4.1328125,0.3642578125,0.2247314453125,0.19287109375
4,-8.640625,-2.765625,3.966796875,-0.0234375,0.13427734375,0.24072265625
4,-8.8671875,-3.09375,3.478515625,-0.29296875,0.0894775390625,0.1566162109375
4,-9.046875,-3.125,3.494140625,-0.0298309326171875,0.150146484375,0.12890625
4,-9.15625,-2.841796875,3.404296875,-0.043670654296875,0.05218505859375,0.1331787109375
4,-8.96875,-2.66796875,3.375,-0.1746826171875,-0.0863037109375,0.050079345703125
4,-8.640625,-2.578125,3.357421875,0.09161376953125,-0.031951904296875,0.09478759765625
4,-9.234375,-2.51953125,3.447265625,0.184326171875,0.137451171875,0.2685546875
4,-8.4765625,-2.162109375,3.478515625,0.31103515625,0.1885986328125,0.07244873046875
4,-8.8515625,-1.6865234375,3.583984375,0.19921875,0.085205078125,0.03302001953125
4,-8.4140625,-1.8408203125,3.427734375,0.1832275390625,0.0394287109375,-0.06390380859375
4,-9.359375,-1.75,3.45703125,0.15234375,0.059661865234375,-0.0276947021484375
4,-9.0078125,-1.7470703125,3.509765625,0.32177734375,0.055389404296875,-0.273681640625
4,-8.7578125,-1.0791015625,3.66796875,0.47509765625,0.0394287109375,-0.22265625
4,-9.0546875,-1.203125,3.533203125,0.266357421875,-0.020233154296875,-0.024505615234375
4,-8.953125,-1.2509765625,3.267578125,0.1800537109375,-0.1448974609375,-0.059661865234375
4,-9.0546875,-1.384765625,2.98828125,-0.1981201171875,-0.10546875,0.010650634765625
4,-9.1953125,-1.5966796875,3.072265625,-0.03729248046875,0.0394287109375,-0.0021305084228515625
4,-9.2421875,-1.2880859375,3.224609375,-0.10546875,0.0660400390625,-0.0053253173828125
4,-9.1015625,-1.1123046875,3.556640625,-0.197021484375,0.04901123046875,0.0777587890625
4,-9.578125,-0.9384765625,3.791015625,-0.308837890625,-0.1097412109375,0.2418212890625
4,-8.890625,-0.86181640625,3.62109375,-0.529296875,-0.2332763671875,0.2822265625
4,-8.53125,-1.423828125,3.36328125,-0.60595703125,-0.1417236328125,0.4453125
4,-8.953125,-1.650390625,3.462890625,-0.55615234375,-0.0276947021484375,0.42822265625
4,-9.03125,-1.580078125,3.69140625,-0.58251953125,-0.0543212890625,0.29296875
4,-8.71875,-1.3203125,3.912109375,-0.64990234375,-0.1278076171875,0.1864013671875
4,-8.65625,-1.5615234375,3.84765625,-0.48681640625,-0.022369384765625,0.2269287109375
4,-8.6171875,-1.4990234375,4.0234375,-0.390869140625,-0.0159759521484375,0.160888671875
4,-8.8125,-1.5986328125,4.046875,-0.361083984375,-0.038360595703125,0.08843994140625
4,-8.71875,-1.6103515625,4.078125,-0.1629638671875,-0.02557373046875,-0.007457733154296875
4,-8.8671875,-1.6064453125,4.1953125,-0.047943115234375,-0.01384735107421875,-0.00959014892578125
4,-8.875,-1.4990234375,3.94140625,0.031951904296875,-0.07672119140625,-0.1246337890625
4,-8.7734375,-1.3564453125,3.744140625,0.07672119140625,-0.03729248046875,-0.1171875
4,-8.7890625,-1.4248046875,3.611328125,0.1512451171875,0.02557373046875,-0.10015869140625
4,-8.96875,-1.3671875,3.814453125,0.15771484375,0.10015869140625,-0.02130126953125
4,-8.71875,-1.6787109375,3.798828125,0.33447265625,0.120361328125,-0.01171875
4,-8.796875,-1.712890625,3.70703125,0.2386474609375,0.04046630859375,-0.0298309326171875
4,-8.7578125,-1.8857421875,3.4375,0.2685546875,0.02130126953125,-0.1278076171875
4,-9.015625,-1.6962890625,3.39453125,0.178955078125,0.01171875,-0.2066650390625
4,-8.9296875,-1.5419921875,3.427734375,0.31640625,0.0777587890625,-0.2705078125
4,-8.8515625,-1.4130859375,3.734375,0.28662109375,0.1309814453125,-0.1395263671875
4,-8.84375,-1.38671875,3.8359375,0.283447265625,0.0809326171875,-0.07989501953125
4,-9.0,-1.5732421875,3.619140625,0.167236328125,0.007457733154296875,-0.046875
4,-8.921875,-1.7216796875,3.2421875,0.078857421875,-0.020233154296875,-0.1171875
4,-8.875,-1.7373046875,3.1328125,0.14599609375,0.1011962890625,-0.1214599609375
4,-8.8515625,-1.703125,3.28125,0.1895751953125,0.19287109375,-0.11505126953125
4,-9.0078125,-1.794921875,3.537109375,0.225830078125,0.19384765625,-0.10760498046875
4,-8.9375,-1.7734375,3.638671875,0.172607421875,0.059661865234375,-0.11932373046875
4,-8.9921875,-1.8876953125,3.27734375,0.1097412109375,0.0298309326171875,-0.11822509765625
4,-9.0859375,-2.041015625,3.103515625,0.27587890625,0.11505126953125,-0.13525390625
4,-8.984375,-1.9873046875,2.986328125,0.39404296875,0.1885986328125,-0.17041015625
4,-9.265625,-2.076171875,3.013671875,0.379150390625,0.2120361328125,-0.120361328125
4,-8.9296875,-1.958984375,3.001953125,0.435791015625,0.1480712890625,-0.15869140625
4,-9.1328125,-1.97265625,2.93359375,0.384521484375,0.1097412109375,-0.1043701171875
4,-9.2734375,-2.10546875,2.748046875,0.34619140625,0.085205078125,-0.1363525390625
4,-9.2578125,-2.05859375,2.578125,0.3740234375,0.07989501953125,-0.14697265625
4,-9.09375,-1.94140625,2.587890625,0.249267578125,-0.0063934326171875,-0.03515625
4,-9.3046875,-2.203125,2.458984375,-0.132080078125,-0.07989501953125,0.13525390625
4,-8.921875,-2.37109375,2.55078125,-0.28857421875,-0.067138671875,0.1480712890625
4,-9.171875,-2.349609375,2.759765625,-0.067138671875,0.0021305084228515625,0.21630859375
4,-9.1796875,-2.169921875,3.123046875,-0.0543212890625,-0.03729248046875,0.05218505859375
4,-8.859375,-1.744140625,3.337890625,0.05218505859375,-0.046875,0.03302001953125
4,-9.2578125,-1.6162109375,3.576171875,0.250244140625,-0.04046630859375,0.04473876953125
4,-9.1640625,-1.3369140625,3.458984375,0.289794921875,-0.1214599609375,-0.020233154296875
4,-8.921875,-1.1328125,3.294921875,0.243896484375,-0.1363525390625,-0.047943115234375
4,-9.0625,-0.896484375,3.32421875,0.140625,-0.10546875,-0.04901123046875
4,-8.8359375,-0.6572265625,3.431640625,0.0276947021484375,-0.0809326171875,-0.047943115234375
4,-8.84375,-0.486083984375,3.666015625,-0.1640625,-0.0809326171875,0.01491546630859375
4,-8.7265625,-0.87890625,3.873046875,-0.18212890625,-0.0170440673828125,0.108642578125
4,-8.96875,-1.0126953125,4.00390625,0.0628662109375,0.057525634765625,0.11932373046875
4,-8.7734375,-0.9423828125,3.9140625,0.08416748046875,-0.0266265869140625,-0.0063934326171875
4,-9.2265625,-0.8056640625,3.583984375,-0.1640625,-0.1480712890625,-0.07989501953125
4,-8.984375,-0.89306640625,3.416015625,-0.33349609375,-0.149169921875,-0.108642578125
4,-8.6953125,-0.96240234375,3.490234375,-0.38134765625,-0.0010652542114257812,0.090576171875
4,-8.671875,-1.021484375,3.66015625,-0.319580078125,0.0745849609375,0.2568359375
4,-8.8359375,-1.3583984375,3.6640625,-0.3515625,0.045806884765625,0.2418212890625
4,-9.0078125,-1.5791015625,3.68359375,-0.283447265625,0.0628662109375,0.2130126953125
4,-8.71875,-1.6484375,3.755859375,-0.172607421875,0.057525634765625,0.1309814453125
4,-9.0,-1.474609375,3.818359375,-0.24609375,-0.007457733154296875,0.0809326171875
4,-9.0390625,-1.3779296875,3.63671875,-0.254638671875,-0.1011962890625,-0.05859375
4,-8.921875,-1.3076171875,3.521484375,-0.267333984375,-0.0980224609375,-0.0191802978515625
